    proID   |         NAME         | Type |     BRAND    | RATE |    MRP   |  DISCOUNT |  CHARGES |  COST   
 428742     | Sony DSC W830        |    2 | Sony         | 1.09 |  3234.64 |    24.49% |    78.27 |  3180.81
 453523     | Sony DSCHX40V 20MP   |    1 | Sony         | 1.19 |  7600.08 |    11.46% |    35.27 |  6971.95
 545156     | Canon EOS 200D       |    3 | Canon        | 0.54 |  7920.19 |    14.09% |    92.89 |  7450.99
 246928     | Nikon D3300 24 MP    |    3 | Nikon        | 3.21 |  4190.04 |    21.96% |   112.29 |  4111.49
 699792     | Sony DSCHX40V 20MP   |    2 | Sony         | 4.09 |  1409.37 |    18.93% |   141.01 |  1475.94
 213547     | Canon EOS 700D 18MP  |    1 | Canon        | 4.66 |  1584.36 |    13.74% |   182.44 |  1651.45
 786718     | Fuji X-A10 Lumix     |    2 | Fuji         | 3.40 |  2556.02 |    21.14% |   166.32 |  2601.41
 581297     | Fuji FinePix S4200   |    1 | Fuji         | 4.71 |  3380.51 |    16.39% |   134.10 |  3308.41
 184253     | Sony H400/B 20 MP    |    2 | Sony         | 0.27 |  2641.50 |    12.07% |    46.09 |  2468.74
 725496     | Nikon Coolpix A100   |    1 | Nikon        | 2.75 |  2521.45 |    13.09% |   160.74 |  2489.57
 398435     | Nikon D3300 24 MP    |    3 | Nikon        | 4.94 |  5761.36 |     4.69% |    75.49 |  4609.11
 420337     | Sony DSC W830        |    3 | Sony         | 4.03 |  7920.64 |    19.69% |    34.68 |  7553.08
 986620     | Fuji X-E3 Digital    |    2 | Fuji         | 5.35 |  1017.11 |    12.43% |   106.92 |  1042.19
 929314     | Canon IXUS 185 20MP  |    2 | Canon        | 2.66 |  2974.87 |    12.45% |    79.53 |  2815.38
 417651     | Panasonic HX-A500H   |    1 | Panasonic    | 2.73 |  3139.60 |    20.24% |    84.31 |  3068.80
 820995     | Panasonic HX-A500H   |    2 | Panasonic    | 4.69 |  2842.53 |    20.76% |   139.65 |  2845.25
 772251     | Panasonic DC-FZ80K   |    2 | Panasonic    | 1.63 |   781.86 |    11.20% |   138.51 |   850.56
 336591     | Nikon D5300 24.2MP   |    1 | Nikon        | 4.51 |  7398.28 |    16.14% |   195.39 |  7135.17
 136617     | Nikon A900 20.3 MP   |    2 | Nikon        | 2.86 |  7689.31 |    23.46% |    56.74 |  7418.25
 334816     | Panasonic DC-FZ80K   |    0 | Panasonic    | 4.41 |  5032.64 |     3.45% |   114.33 |  3687.97
 88555      | Nikon D5300 24.2MP   |    3 | Nikon        | 3.31 |   926.57 |     9.77% |   143.65 |   975.38
 139564     | Canon EOS 200D       |    2 | Canon        | 3.36 |   645.20 |     6.16% |   182.46 |   722.87
 294187     | Nikon Coolpix B500   |    2 | Nikon        | 3.02 |  3357.16 |     3.17% |   143.37 |  2440.26
 764099     | Canon PowerShot S54  |    3 | Canon        | 4.52 |  7592.40 |    14.44% |   199.24 |  7266.00
 636292     | Sony CS DSC-H300C    |    1 | Sony         | 2.12 |  4355.62 |    15.08% |    46.32 |  4113.18
 121956     | Panasonic DC-FZ80K   |    0 | Panasonic    | 2.71 |  6184.51 |     6.33% |   106.86 |  5314.36
 370710     | Sony DSC W830        |    3 | Sony         | 1.04 |  5490.35 |     8.39% |   108.21 |  4943.80
 583156     | Fuji Instax Mini 70  |    3 | Fuji         | 2.06 |  4295.61 |     5.21% |   196.01 |  3667.18
 327493     | Nikon D3300 24 MP    |    0 | Nikon        | 2.67 |  1159.61 |    19.65% |   141.12 |  1241.73
 427294     | Nikon A900 20.3 MP   |    3 | Nikon        | 2.49 |  3332.18 |     9.28% |    87.48 |  3060.62
 359961     | Sony H400/B 20 MP    |    1 | Sony         | 4.01 |  5244.52 |    11.44% |   156.81 |  4942.76
 31439      | Canon PowerShot S54  |    3 | Canon        | 4.31 |  1037.63 |    14.34% |    62.09 |  1027.36
 426012     | Panasonic DC-FZ80K   |    0 | Panasonic    | 0.98 |  7906.37 |     5.50% |   119.15 |  6588.58
 717602     | Fuji FinePix S4200   |    1 | Fuji         | 5.19 |  1078.60 |    18.56% |    49.08 |  1069.55
 444929     | Panasonic DMC-G3WG   |    2 | Panasonic    | 1.93 |   207.62 |    16.57% |    92.30 |   287.39
 923876     | Canon PowerShot S54  |    2 | Canon        | 0.69 |  2574.59 |    14.08% |   100.54 |  2492.29
 467784     | Fuji X-E3 Digital    |    0 | Fuji         | 5.70 |  4583.65 |    21.30% |   123.37 |  4491.83
 544597     | Panasonic DC-FZ80K   |    0 | Panasonic    | 1.20 |  5888.27 |    15.89% |   198.44 |  5716.20
 288312     | Sony H400/B 20 MP    |    1 | Sony         | 4.04 |  6255.41 |    19.36% |   151.02 |  6083.32
 476701     | Panasonic DMC-LX10   |    3 | Panasonic    | 2.38 |  3393.07 |    22.06% |   126.30 |  3365.53
 91269      | FinePix XP120 Lime   |    2 | FinePix      | 5.62 |  3756.55 |     7.83% |   104.35 |  3381.40
 850338     | Nikon D5300 24.2MP   |    3 | Nikon        | 2.59 |  7604.16 |    20.50% |   155.72 |  7388.91
 660849     | Nikon D3300 24 MP    |    0 | Nikon        | 1.61 |  6369.80 |    10.51% |   109.83 |  5873.60
 445870     | Panasonic DMC-G3WG   |    2 | Panasonic    | 1.19 |  4222.66 |    20.45% |   103.36 |  4119.55
 263051     | Fuji X-E3 Digital    |    3 | Fuji         | 1.91 |  4425.12 |     3.49% |   189.01 |  3345.85
 458145     | Fuji X-E3 Digital    |    0 | Fuji         | 5.63 |  7382.74 |    18.45% |   195.10 |  7177.79
 277325     | Panasonic DC-FZ80K   |    2 | Panasonic    | 4.49 |  2143.60 |     9.22% |   121.42 |  2032.45
 450253     | Nikon Coolpix A100   |    3 | Nikon        | 4.76 |  3988.55 |     8.39% |    38.65 |  3551.85
 939039     | Fuji FinePix S4200   |    0 | Fuji         | 3.20 |  6866.97 |    21.02% |    68.24 |  6608.58
 222574     | Fuji FinePix S4200   |    3 | Fuji         | 1.49 |  3572.49 |     4.28% |   197.14 |  2934.63
 560030     | Nikon Coolpix A100   |    2 | Nikon        | 1.71 |  3727.72 |     4.59% |   177.37 |  3093.48
 950565     | Sony H400/B 20 MP    |    1 | Sony         | 1.10 |  6974.58 |     6.06% |    57.71 |  5881.80
 271700     | Fuji X-E3 Digital    |    1 | Fuji         | 4.30 |  5360.26 |    21.01% |   128.31 |  5233.48
 521925     | Fuji X-E3 Digital    |    3 | Fuji         | 2.70 |  1160.03 |    20.42% |   101.58 |  1204.81
 92769      | FinePix XP120 Lime   |    3 | FinePix      | 1.52 |  5856.32 |    23.25% |   132.03 |  5736.46
 229162     | Sony DSC W830        |    1 | Sony         | 4.49 |  4064.96 |    21.04% |    79.95 |  3951.74
 216088     | Panasonic DC-FZ80K   |    0 | Panasonic    | 0.01 |  3137.02 |    15.55% |   148.02 |  3083.26
 943634     | Panasonic DMC-G3WG   |    1 | Panasonic    | 0.55 |   275.82 |    21.36% |   101.32 |   364.23
 30572      | Nikon D3300 24 MP    |    1 | Nikon        | 3.30 |  5801.62 |    12.03% |   195.31 |  5514.67
 402370     | Nikon Coolpix A300   |    2 | Nikon        | 5.12 |  3473.00 |    15.21% |   155.86 |  3400.52
 572985     | Panasonic HX-A500H   |    0 | Panasonic    | 3.15 |  4977.03 |     2.73% |   187.65 |  3341.89
 826652     | Sony DSCHX40V 20MP   |    0 | Sony         | 0.72 |  5788.09 |    24.19% |   156.84 |  5705.61
 610588     | FinePix XP120 Lime   |    2 | FinePix      | 5.38 |  7213.50 |    24.68% |    49.17 |  6970.39
 331289     | Panasonic DMC-LX10   |    0 | Panasonic    | 5.23 |  1264.44 |    13.30% |   157.33 |  1326.70
 870533     | Panasonic HX-A500H   |    3 | Panasonic    | 1.36 |  1947.16 |    23.22% |   136.61 |  1999.93
 711766     | Fuji X-A10 Lumix     |    3 | Fuji         | 3.59 |  3669.83 |    14.01% |   116.92 |  3524.84
 855804     | Sony H400/B 20 MP    |    1 | Sony         | 3.26 |  4071.36 |    21.23% |   127.18 |  4006.75
